petition_id,people,government,child,would,school,public,service,referendum,right,change,country,british,health,allow,family,student,national,animal,support,parent
065bef75-4b25-490d-a760-b4ba9d62ba3d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7175e342-74ed-42b8-88d0-54ac8540d2b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
b46c9bf9-7ead-49d9-b6a8-6605238edd1e,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45bed475-d95e-48e7-b121-cfd7db73f64c,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
aba0de04-a46c-4947-9d1c-55b2096a571b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0
ba257b99-36f8-4f9b-9816-207eae291fc6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0e02d63c-a37e-4413-8c8e-aaa64f0e8409,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
9afef7dc-96d7-45d5-9105-3178d1feb2a3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
b088bd2d-2842-45f3-b003-e3cc479f3bb4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
b577a1dd-633c-4928-b9ec-4689f29cd144,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
c009566e-77d5-43ba-8a98-f3d6df06428e,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0
639c8eef-db60-4417-b844-29eb94ee36ee,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9e4a6df4-85d5-48ae-9704-ee8e2a53f0af,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
e8143072-8fc7-446e-8423-fa3cd76d3f65,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
aae6da5d-6e54-41ed-88dd-028f1ab57136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0953487a-8872-4315-9ef3-2520badda07f,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
